  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(18_16)Mean,    d(D_H)Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(18_16)_SD,     d(D_H)_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code
     1,     P-772,   2019/11/07 15:15:17,           1-01,       1,       -34.369,      -274.798,         17671,      -1,    1,                                        ,                                        ,                 H2O, 1573165222.36,         0.187,         0.508,         5.815,         0.001,         0.008,        -0.090,        80.411,        35.328,         0.915,        55.779,         0.864,        -0.736,       -0.0000,       -0.0000,    0,        41.312,         1,       1,       1,  DGK_norm,       0
     2,     P-772,   2019/11/07 15:29:27,           1-01,       2,       -34.400,      -277.370,         17990,      -1,    1,                                        ,                                        ,                 H2O, 1573166072.56,         0.187,         0.615,        28.843,         0.001,         0.012,         0.667,        82.300,        36.108,         0.940,        57.301,         0.865,        -0.650,        0.0000,        0.0000,    0,        41.562,         1,       1,       1,  DGK_norm,       0
     3,     P-772,   2019/11/07 15:38:23,           1-01,       3,       -34.592,      -279.894,         17685,      -1,    1,                                        ,                                        ,                 H2O, 1573166608.12,         0.193,         0.615,        15.845,         0.001,         0.012,         0.355,        80.709,        35.599,         0.905,        56.262,         0.864,        -0.644,        0.0000,        0.0000,    0,        41.250,         1,       1,       1,  DGK_norm,       0
     4,     P-772,   2019/11/07 15:47:19,           1-01,       4,       -34.614,      -280.564,         17845,       0,    1,                                        ,                                        ,                 H2O, 1573167143.94,         0.189,         0.562,         8.826,         0.001,         0.011,         0.187,        81.568,        35.538,         0.948,        57.571,         0.865,        -0.578,        0.0000,        0.0000,    0,        41.250,         1,       1,       1,  DGK_norm,       0
     5,     P-772,   2019/11/07 15:56:15,           1-01,       5,       -34.624,      -281.011,         17691,       0,    1,                                        ,                                        ,                 H2O, 1573167681.00,         0.201,         0.524,        10.790,         0.001,         0.009,         0.246,        80.855,        35.273,         0.924,        56.165,         0.865,        -0.697,        0.0000,        0.0000,    0,        41.250,         1,       1,       1,  DGK_norm,       0
     6,     P-772,   2019/11/07 16:05:12,           1-01,       6,       -34.641,      -281.303,         17655,       0,    1,                                        ,                                        ,                 H2O, 1573168217.15,         0.184,         0.487,        12.742,         0.000,         0.008,         0.260,        80.611,        35.323,         0.915,        55.809,         0.863,        -0.694,       -0.0000,       -0.0000,    0,        41.500,         1,       1,       1,  DGK_norm,       0
     7,     P-772,   2019/11/07 16:14:09,           1-01,       7,       -34.676,      -281.494,         17575,       0,    1,                                        ,                                        ,                 H2O, 1573168754.44,         0.180,         0.520,         6.767,         0.001,         0.009,         0.142,        80.166,        35.078,         0.923,        55.795,         0.865,        -0.660,       -0.0000,       -0.0000,    0,        41.188,         1,       1,       1,  DGK_norm,       0
     8,     P-772,   2019/11/07 16:23:05,           1-01,       8,       -34.699,      -281.843,         17645,       0,    1,                                        ,                                        ,                 H2O, 1573169290.96,         0.191,         0.530,         8.486,         0.000,         0.009,         0.163,        80.411,        35.459,         0.903,        55.792,         0.863,        -0.666,       -0.0000,       -0.0000,    0,        41.438,         1,       1,       1,  DGK_norm,       0
     9,     P-772,   2019/11/07 16:32:01,           1-01,       9,       -34.690,      -281.972,         17671,       0,    1,                                        ,                                        ,                 H2O, 1573169826.83,         0.195,         0.524,         8.713,        -0.000,         0.008,         0.129,        80.655,        35.192,         0.919,        56.367,         0.865,        -0.649,        0.0000,        0.0000,    0,        41.375,         1,       1,       1,  DGK_norm,       0
    10,     P-772,   2019/11/07 16:40:57,           1-01,      10,       -34.690,      -282.044,         17755,       0,    1,                                        ,                                        ,                 H2O, 1573170362.65,         0.189,         0.465,         9.518,         0.000,         0.008,         0.083,        81.083,        34.902,         0.950,        57.938,         0.864,        -0.575,        0.0000,        0.0000,    0,        41.438,         1,       1,       1,  DGK_norm,       0
    11,     P-773,   2019/11/07 16:50:33,           1-02,       1,       -16.907,      -136.244,         17783,      -1,    1,                                        ,                                        ,                 H2O, 1573170938.91,         0.192,         0.454,         7.910,        -0.001,        -0.005,         0.165,        83.726,        35.090,         0.950,        58.730,         0.866,        -0.845,       -0.0000,       -0.0000,    0,        41.500,         1,       2,       1,  DGK_norm,       0
    12,     P-773,   2019/11/07 16:59:30,           1-02,       2,       -16.566,      -130.172,         17690,      -1,    1,                                        ,                                        ,                 H2O, 1573171475.49,         0.203,         0.480,         8.660,        -0.002,        -0.007,         0.153,        83.266,        34.984,         0.938,        57.799,         0.864,        -0.824,        0.0000,        0.0000,    0,        41.375,         1,       2,       1,  DGK_norm,       0
